host_id,host_name,host_location,host_is_superhost,host_response_rate,host_listings_count,host_thumbnail_url
26227035,Giovana,"Barra da Tijuca, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/8a811dfe-ba5c-4168-a781-934ab0261c32.jpg?aki_policy=profile_small
83634205,Aurélie,"Shanghai, Shanghai, China",FALSE,NA,1,https://a0.muscache.com/im/pictures/f77e018f-3851-457d-b861-ea4fcf136ab6.jpg?aki_policy=profile_small
10078948,Paul,"St. Louis, Missouri, United States",TRUE,100,2,https://a0.muscache.com/im/pictures/94e2864e-7111-4f27-b4e8-4158dd013e9e.jpg?aki_policy=profile_small
37629063,Lucy,"Hong Kong, Hong Kong",FALSE,NA,1,https://a0.muscache.com/im/pictures/e3ea8425-df69-459e-8a59-3e23ded77220.jpg?aki_policy=profile_small
39428446,Leonore,United States,FALSE,100,5,https://a0.muscache.com/im/users/39428446/profile_pic/1437745886/original.jpg?aki_policy=profile_small
335540,Wanda,"Kailua, Hawaii, United States",FALSE,NA,1,https://a0.muscache.com/im/users/335540/profile_pic/1404428384/original.jpg?aki_policy=profile_small
84155436,Ricardo,"Matosinhos, Porto District, Portugal",FALSE,NA,1,https://a0.muscache.com/im/pictures/3393b21a-2903-40f8-90bc-1ea36b811692.jpg?aki_policy=profile_small
48100358,Ivan,"New York, New York, United States",FALSE,100,3,https://a0.muscache.com/im/pictures/4e0f225d-a5e0-4ae1-ab00-4ef092115540.jpg?aki_policy=profile_small
80832046,Yun,"Barcelona, Catalonia, Spain",FALSE,100,3,https://a0.muscache.com/im/pictures/f97fb889-1e0a-47b2-b4a4-64d4fa8d53aa.jpg?aki_policy=profile_small
7582944,Ed,TR,FALSE,NA,1,https://a0.muscache.com/im/users/7582944/profile_pic/1374478127/original.jpg?aki_policy=profile_small
2201772,Dimitry,"Barcelona, Cataluña, Spain",FALSE,82,10,https://a0.muscache.com/im/pictures/user/cd951be5-6cf9-4978-bbb6-6a07aad43e3d.jpg?aki_policy=profile_small
68914248,Joana,"Niterói, State of Rio de Janeiro, Brazil",FALSE,NA,1,https://a0.muscache.com/im/pictures/81d2acf3-8611-40c6-8d45-d9fb351fde4f.jpg?aki_policy=profile_small
17506063,Marcella,"Rio de Janeiro, State of Rio de Janeiro, Brazil",FALSE,NA,2,https://a0.muscache.com/im/pictures/a95de622-9f41-4c96-8178-658294682e56.jpg?aki_policy=profile_small
84569383,Wayne And Kim,"Kapaa, Hawaii, United States",TRUE,91,2,https://a0.muscache.com/im/pictures/user/1f53316a-6da1-401e-8d83-535a29a0a920.jpg?aki_policy=profile_small
7598883,Pedro,BR,FALSE,100,1,https://a0.muscache.com/im/users/7598883/profile_pic/1374291800/original.jpg?aki_policy=profile_small
11369496,Brandyn,"Kailua, Hawaii, United States",FALSE,100,12,https://a0.muscache.com/im/pictures/ab45e687-fe04-462f-897b-b219b288b66b.jpg?aki_policy=profile_small
84813481,Rebekah,"Montreal, Quebec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/367d4387-064d-46f6-b03c-fabe661180e3.jpg?aki_policy=profile_small
8530753,Jared SSP,"Melbourne, Victoria, Australia",FALSE,98,152,https://a0.muscache.com/im/pictures/user/c7020809-2d2d-4e64-a38b-3acc7924b1d6.jpg?aki_policy=profile_small
7604849,Alain,"Istanbul, Istanbul, Turkey",FALSE,100,2,https://a0.muscache.com/im/users/7604849/profile_pic/1413752796/original.jpg?aki_policy=profile_small
34840147,Xavier,"Montreal, Québec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/0d7e3b7a-f764-48cd-a745-313e5e877013.jpg?aki_policy=profile_small
7312916,Marc,"Paris, Île-de-France, France",FALSE,NA,1,https://a0.muscache.com/im/users/7312916/profile_pic/1373108372/original.jpg?aki_policy=profile_small
10911051,Pool Houses Barcelona,"Barcelona, Catalonia, Spain",FALSE,100,7,https://a0.muscache.com/im/users/10911051/profile_pic/1388687574/original.jpg?aki_policy=profile_small
83176398,Cynthia,"Howell, New Jersey, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/037b1929-1dae-4bb1-9208-f0a1f5954bec.jpg?aki_policy=profile_small
27040393,Fannie,"Montreal, Québec, Canada",FALSE,NA,1,https://a0.muscache.com/im/pictures/39dd6eb4-41de-434c-b7b2-83e9e120d429.jpg?aki_policy=profile_small
24215902,Sam,HK,FALSE,76,51,https://a0.muscache.com/im/users/24215902/profile_pic/1426704256/original.jpg?aki_policy=profile_small
70185663,Oscar,"Barcelona, Catalonia, Spain",TRUE,100,1,https://a0.muscache.com/im/pictures/364e9a43-5317-41bf-b593-d760f4d15771.jpg?aki_policy=profile_small
7136763,Edi,"Honolulu, Hawaii, United States",FALSE,NA,1,https://a0.muscache.com/im/pictures/4d5e08d7-5e14-49b0-a578-17f217dc62b5.jpg?aki_policy=profile_small
2781217,Fatma,"Istanbul, Istanbul, Turkey",FALSE,94,6,https://a0.muscache.com/im/users/2781217/profile_pic/1340995679/original.jpg?aki_policy=profile_small
8133558,Gryphon,"New York, New York, United States",FALSE,NA,1,https://a0.muscache.com/im/users/8133558/profile_pic/1399844210/original.jpg?aki_policy=profile_small
6192259,Aysem,"Istanbul, İstanbul, Turkey",FALSE,100,1,https://a0.muscache.com/im/users/6192259/profile_pic/1367920178/original.jpg?aki_policy=profile_small
85370695,Sherry,"Lake Havasu City, Arizona, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/4a3aaaa1-f748-4233-a7e6-bb9668467046.jpg?aki_policy=profile_small
1425322,Kandide,"Haiku-Pauwela, Hawaii, United States",FALSE,100,7,https://a0.muscache.com/im/pictures/user/805e277d-0090-45fe-86b1-4094860a9030.jpg?aki_policy=profile_small
25193912,Jorge,"Porto, Porto District, Portugal",TRUE,100,9,https://a0.muscache.com/im/users/25193912/profile_pic/1431739009/original.jpg?aki_policy=profile_small
18214248,Ana,"Barcelona, Catalonia, Spain",FALSE,86,2,https://a0.muscache.com/im/users/18214248/profile_pic/1405547279/original.jpg?aki_policy=profile_small
83459214,Sarah,"Honolulu, Hawaii, United States",TRUE,100,1,https://a0.muscache.com/im/pictures/user/e99d37ae-3a77-48cc-aeb3-11e0ed907940.jpg?aki_policy=profile_small
19808004,Ode,"Montreal, Québec, Canada",FALSE,100,1,https://a0.muscache.com/im/pictures/36c447f9-004d-46f0-9819-52c6fa003806.jpg?aki_policy=profile_small
10853846,Secondhome,"Istanbul, Turkey",TRUE,100,4,https://a0.muscache.com/im/users/10853846/profile_pic/1440862022/original.jpg?aki_policy=profile_small
4650574,Jimmy,HK,FALSE,100,14,https://a0.muscache.com/im/users/4650574/profile_pic/1357812340/original.jpg?aki_policy=profile_small
85801205,Vazo,"Istanbul, İstanbul, Turkey",FALSE,100,7,https://a0.muscache.com/im/pictures/7b3313c9-71d7-424a-b0f8-0cdb49d6a199.jpg?aki_policy=profile_small
39959754,André,"Porto, Porto District, Portugal",FALSE,83,1,https://a0.muscache.com/im/pictures/83e62c35-61e1-4eb7-a1d9-1ce7af1a07e5.jpg?aki_policy=profile_small
85858084,Lale,TR,FALSE,NA,1,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3
72761895,Samuel,"Montreal, Quebec, Canada",FALSE,100,67,https://a0.muscache.com/im/pictures/66b1a991-926e-4986-8396-ef65770378c5.jpg?aki_policy=profile_small
46499418,Kai,"Honolulu, Hawaii, United States",TRUE,100,12,https://a0.muscache.com/im/pictures/b4c42bce-d17f-4265-a2df-219dcbf9071c.jpg?aki_policy=profile_small
